,Environment,Algorithm,Steps,Run,AUC,Return,P_AUC
210,DQN-9.json,DQN-9,500000,3,0.834567304124043,4172.836520620215,0.9716003561316464
211,DQN-9.json,DQN-9,500000,15,0.9453161932446473,4726.580966223237,1.2560114922513905
212,DQN-9.json,DQN-9,500000,9,0.9006156914010793,4503.078457005397,1.1337257295344583
213,DQN-9.json,DQN-9,500000,12,0.9576236393177292,4788.118196588646,1.2712557745368338
214,DQN-9.json,DQN-9,500000,18,1.0850608226826308,5425.304113413154,1.2310043560276893
215,DQN-9.json,DQN-9,500000,0,1.0319709181576182,5159.854590788091,1.124694783269073
216,DQN-9.json,DQN-9,500000,21,1.0001837077222129,5000.918538611064,1.3300475638253937
217,DQN-9.json,DQN-9,500000,24,0.8396234706870928,4198.117353435464,0.9890049346764158
218,DQN-9.json,DQN-9,500000,6,0.9852012444368374,4926.006222184187,1.1705812108079658
219,DQN-9.json,DQN-9,500000,27,0.9573609052565737,4786.804526282868,1.0655662940896276
220,DQN-9.json,DQN-9,500000,1,0.864523569342581,4322.617846712905,0.921690082349241
221,DQN-9.json,DQN-9,500000,7,1.109285613249981,5546.428066249906,1.3629729065969258
222,DQN-9.json,DQN-9,500000,13,0.6632330248845718,3316.165124422859,0.7865176887496064
223,DQN-9.json,DQN-9,500000,4,0.8932846631768023,4466.423315884012,0.9285195633941178
224,DQN-9.json,DQN-9,500000,16,1.000318055265136,5001.590276325681,1.1585838874730863
225,DQN-9.json,DQN-9,500000,10,0.6623294965188801,3311.6474825944006,0.7054326300084915
226,DQN-9.json,DQN-9,500000,22,1.0473013072134993,5236.506536067496,1.3671958963790323
227,DQN-9.json,DQN-9,500000,28,0.9816586203125763,4908.293101562882,1.1233755117692112
228,DQN-9.json,DQN-9,500000,19,1.0344884941309411,5172.442470654705,1.2418427940157448
229,DQN-9.json,DQN-9,500000,25,0.9723220528663307,4861.6102643316535,1.3235404260644248
230,DQN-9.json,DQN-9,500000,2,1.1134217155214192,5567.108577607096,1.4194263841996972
231,DQN-9.json,DQN-9,500000,5,1.0507157574265529,5253.578787132765,1.2752504919120347
232,DQN-9.json,DQN-9,500000,8,0.9322307422086069,4661.1537110430345,1.1438747049217841
233,DQN-9.json,DQN-9,500000,29,0.9340228575472547,4670.114287736274,1.1699704500305466
234,DQN-9.json,DQN-9,500000,26,0.9686608687751673,4843.304343875837,0.9662713729033976
235,DQN-9.json,DQN-9,500000,14,0.7651841895507323,3825.9209477536615,0.9271641552825448
